,fbstock_change
2020-11-02 hr05,-3.240000000000009
2020-11-02 hr06,-3.240000000000009
2020-11-02 hr07,-3.240000000000009
2020-11-02 hr08,-3.240000000000009
2020-11-02 hr09,-3.240000000000009
2020-11-02 hr10,-3.240000000000009
2020-11-02 hr11,-3.240000000000009
2020-11-02 hr12,-3.240000000000009
2020-11-02 hr13,-3.240000000000009
2020-11-02 hr14,-3.240000000000009
2020-11-02 hr15,-3.240000000000009
2020-11-02 hr17,-3.240000000000009
2020-11-02 hr18,-3.240000000000009
2020-11-02 hr19,-3.240000000000009
2020-11-02 hr21,-3.240000000000009
2020-11-02 hr23,-3.240000000000009
2020-11-03 hr00,2.1399999999999864
2020-11-03 hr05,2.1399999999999864
2020-11-03 hr06,2.1399999999999864
2020-11-03 hr07,2.1399999999999864
2020-11-03 hr08,2.1399999999999864
2020-11-03 hr11,2.1399999999999864
2020-11-03 hr12,2.1399999999999864
2020-11-03 hr13,2.1399999999999864
2020-11-03 hr14,2.1399999999999864
2020-11-03 hr15,2.1399999999999864
2020-11-03 hr16,2.1399999999999864
2020-11-03 hr17,2.1399999999999864
2020-11-03 hr18,2.1399999999999864
2020-11-03 hr19,2.1399999999999864
2020-11-03 hr20,2.1399999999999864
2020-11-03 hr23,2.1399999999999864
2020-11-04 hr02,6.3799999999999955
2020-11-04 hr05,6.3799999999999955
2020-11-04 hr06,6.3799999999999955
2020-11-04 hr07,6.3799999999999955
2020-11-04 hr08,6.3799999999999955
2020-11-04 hr10,6.3799999999999955
2020-11-04 hr11,6.3799999999999955
2020-11-04 hr12,6.3799999999999955
2020-11-04 hr13,6.3799999999999955
2020-11-04 hr14,6.3799999999999955
2020-11-04 hr15,6.3799999999999955
2020-11-04 hr17,6.3799999999999955
2020-11-04 hr18,6.3799999999999955
2020-11-04 hr19,6.3799999999999955
2020-11-04 hr20,6.3799999999999955
2020-11-04 hr23,6.3799999999999955
2020-11-05 hr00,2.7800000000000296
2020-11-05 hr01,2.7800000000000296
2020-11-05 hr02,2.7800000000000296
2020-11-05 hr03,2.7800000000000296
2020-11-05 hr04,2.7800000000000296
2020-11-05 hr05,2.7800000000000296
2020-11-05 hr06,2.7800000000000296
2020-11-05 hr07,2.7800000000000296
2020-11-05 hr08,2.7800000000000296
2020-11-05 hr09,2.7800000000000296
2020-11-05 hr10,2.7800000000000296
2020-11-05 hr11,2.7800000000000296
2020-11-05 hr12,2.7800000000000296
2020-11-05 hr15,2.7800000000000296
2020-11-05 hr17,2.7800000000000296
2020-11-05 hr18,2.7800000000000296
2020-11-05 hr19,2.7800000000000296
2020-11-05 hr20,2.7800000000000296
2020-11-05 hr21,2.7800000000000296
2020-11-05 hr22,2.7800000000000296
2020-11-05 hr23,2.7800000000000296
2020-11-06 hr00,-0.5399999999999636
2020-11-06 hr02,-0.5399999999999636
2020-11-06 hr06,-0.5399999999999636
2020-11-06 hr07,-0.5399999999999636
2020-11-06 hr08,-0.5399999999999636
2020-11-06 hr09,-0.5399999999999636
2020-11-06 hr10,-0.5399999999999636
2020-11-06 hr11,-0.5399999999999636
2020-11-06 hr12,-0.5399999999999636
2020-11-06 hr13,-0.5399999999999636
2020-11-06 hr16,-0.5399999999999636
2020-11-06 hr17,-0.5399999999999636
2020-11-06 hr18,-0.5399999999999636
2020-11-06 hr19,-0.5399999999999636
2020-11-06 hr21,-0.5399999999999636
2020-11-07 hr03,-11.100000000000023
2020-11-07 hr06,-11.100000000000023
2020-11-07 hr07,-11.100000000000023
2020-11-07 hr08,-11.100000000000023
2020-11-07 hr09,-11.100000000000023
2020-11-07 hr10,-11.100000000000023
2020-11-07 hr11,-11.100000000000023
2020-11-07 hr12,-11.100000000000023
2020-11-07 hr14,-11.100000000000023
2020-11-07 hr18,-11.100000000000023
2020-11-08 hr08,-11.100000000000023
2020-11-08 hr09,-11.100000000000023
2020-11-08 hr10,-11.100000000000023
2020-11-08 hr11,-11.100000000000023
2020-11-08 hr12,-11.100000000000023
2020-11-08 hr16,-11.100000000000023
2020-11-08 hr19,-11.100000000000023
2020-11-08 hr23,-11.100000000000023
2020-11-09 hr00,-11.100000000000023
2020-11-09 hr02,-11.100000000000023
2020-11-09 hr03,-11.100000000000023
2020-11-09 hr04,-11.100000000000023
2020-11-09 hr05,-11.100000000000023
2020-11-09 hr06,-11.100000000000023
2020-11-09 hr07,-11.100000000000023
2020-11-09 hr08,-11.100000000000023
2020-11-09 hr09,-11.100000000000023
2020-11-09 hr10,-11.100000000000023
2020-11-09 hr11,-11.100000000000023
2020-11-09 hr14,-11.100000000000023
2020-11-09 hr16,-11.100000000000023
2020-11-09 hr18,-11.100000000000023
2020-11-09 hr19,-11.100000000000023
2020-11-09 hr20,-11.100000000000023
